artist,title,filename,tempo,energy,danceability,mode,valence,genre
Eric Hutchinson,Outside Villanova,Eric Hutchinson - Outside Villanova.txt,137.946,0.732,0.785,1,0.798,acoustic
Gen Hoshino,I Wanna Be Your Ghost (feat. Ghosts),Gen Hoshino - I Wanna Be Your Ghost (feat. Ghosts).txt,129.993,0.751,0.829,0,0.96,acoustic
Marc Broussard,Rocksteady,Marc Broussard - Rocksteady.txt,120.063,0.849,0.719,0,0.886,acoustic
Laura Jane Grace,Day Old Coffee,Laura Jane Grace - Day Old Coffee.txt,152.02,0.933,0.712,1,0.865,acoustic
Todd Carey,Nintendo,Todd Carey - Nintendo.txt,124.94,0.93,0.723,1,0.69,acoustic
Criolo,Fellini,Criolo - Fellini.txt,127.922,0.746,0.805,0,0.717,afrobeat
BaianaSystem,Terapia,BaianaSystem - Terapia.txt,124.03,0.814,0.79,0,0.914,afrobeat
Plastilina Mosh,Aló,Plastilina Mosh - Aló.txt,142.035,0.609,0.797,1,0.913,afrobeat
BaianaSystem,Reza Forte,BaianaSystem - Reza Forte.txt,145.997,0.915,0.844,0,0.872,afrobeat
Criolo,Demorô,Criolo - Demorô.txt,140.989,0.709,0.755,0,0.657,afrobeat
Criolo,Samba Sambei,Criolo - Samba Sambei.txt,136.07,0.737,0.87,1,0.952,afrobeat
Criolo,Menino Mimado,Criolo - Menino Mimado.txt,144.008,0.604,0.83,0,0.82,afrobeat
Criolo,Boca Fofa,Criolo - Boca Fofa.txt,168.146,0.784,0.717,0,0.978,afrobeat
BaianaSystem,Cabeça de Papel,BaianaSystem - Cabeça de Papel.txt,144.999,0.833,0.724,1,0.875,afrobeat
Criolo,Me Dê Motivo,Criolo - Me Dê Motivo.txt,132.008,0.623,0.864,1,0.84,afrobeat
Criolo,Samba Sambei (Dub Mix),Criolo - Samba Sambei (Dub Mix).txt,136.029,0.664,0.795,1,0.854,afrobeat
BaianaSystem,CertoPeloCertoh,BaianaSystem - CertoPeloCertoh.txt,149.995,0.72,0.726,1,0.874,afrobeat
Criolo,Chocolate,Criolo - Chocolate.txt,135.953,0.79,0.759,0,0.914,afrobeat
Plastilina Mosh,Human Disco Ball,Plastilina Mosh - Human Disco Ball.txt,125.023,0.99,0.797,0,0.926,afrobeat
Jorge Drexler,Uno,Jorge Drexler - Uno.txt,130.945,0.686,0.715,1,0.86,afrobeat
Plastilina Mosh,Bungaloo Punta Cometa,Plastilina Mosh - Bungaloo Punta Cometa.txt,149.822,0.771,0.744,0,0.661,afrobeat
Los Amigos Invisibles,Sex Appeal,Los Amigos Invisibles - Sex Appeal.txt,120.961,0.728,0.758,1,0.846,afrobeat
Plastilina Mosh,JAJAJA,Plastilina Mosh - JAJAJA.txt,122.757,0.889,0.714,1,0.935,afrobeat
BaianaSystem,Corneteiro Luís,BaianaSystem - Corneteiro Luís.txt,126.005,0.858,0.762,0,0.836,afrobeat
BaianaSystem,Tubarão,BaianaSystem - Tubarão.txt,131.065,0.925,0.738,1,0.704,afrobeat
BaianaSystem,Pachamama,BaianaSystem - Pachamama.txt,150.03,0.855,0.75,0,0.879,afrobeat
Afrocidade,Eu Vou no Gueto,Afrocidade - Eu Vou no Gueto.txt,133.984,0.902,0.762,0,0.882,afrobeat
BaianaSystem,Catraca,BaianaSystem - Catraca.txt,154.955,0.939,0.742,1,0.965,afrobeat
Los Amigos Invisibles,Invisible Love,Los Amigos Invisibles - Invisible Love.txt,125.98,0.747,0.731,0,0.962,afrobeat
Calle 13,Tal Para Cual,Calle 13 - Tal Para Cual.txt,175.999,0.871,0.726,0,0.773,afrobeat
BaianaSystem,Saci (Remix),BaianaSystem - Saci (Remix).txt,127.989,0.922,0.974,0,0.657,afrobeat
Voilaaa,Pour la vie,Voilaaa - Pour la vie.txt,133.901,0.687,0.863,1,0.77,afrobeat
Osibisa,Dance the Body Music,Osibisa - Dance the Body Music.txt,120.919,0.831,0.731,0,0.973,afrobeat
Voilaaa,Tu n'as pas de voiture,Voilaaa - Tu n'as pas de voiture.txt,132.984,0.72,0.876,0,0.901,afrobeat
Voilaaa,Spies Are Watching Me,Voilaaa - Spies Are Watching Me.txt,127.002,0.708,0.892,0,0.949,afrobeat
Calle 13,Uiyi Guaye,Calle 13 - Uiyi Guaye.txt,183.918,0.783,0.734,1,0.767,afrobeat
Caê,Bim-Bim-Bim,Caê - Bim-Bim-Bim.txt,122.108,0.76,0.778,1,0.895,afrobeat
Plastilina Mosh,Mjlm,Plastilina Mosh - Mjlm.txt,126.39,0.854,0.739,1,0.792,afrobeat
Los Amigos Invisibles,All Day Today,Los Amigos Invisibles - All Day Today.txt,124.012,0.932,0.75,1,0.82,afrobeat
Eben,Victory,Eben - Victory.txt,125.924,0.697,0.751,1,0.879,afrobeat
The Dynamics,Move on Up,The Dynamics - Move on Up.txt,145.952,0.709,0.836,0,0.969,afrobeat
The Dynamics,Rock It,The Dynamics - Rock It.txt,129.01,0.824,0.814,1,0.902,afrobeat
Kiko Dinucci e Bando Afro Macarrônico,Rainha das Cabeças,Kiko Dinucci e Bando Afro Macarrônico - Rainha das Cabeças.txt,139.961,0.736,0.73,1,0.937,afrobeat
Afrocidade,Topo do Mundo,Afrocidade - Topo do Mundo.txt,132.983,0.863,0.744,1,0.676,afrobeat
Plastilina Mosh,Naranjada,Plastilina Mosh - Naranjada.txt,145.02,0.886,0.739,1,0.814,afrobeat
Plastilina Mosh,Toll Free,Plastilina Mosh - Toll Free.txt,138.153,0.722,0.746,0,0.889,afrobeat
Los Amigos Invisibles,El Baile Del Sobón,Los Amigos Invisibles - El Baile Del Sobón.txt,154.988,0.92,0.735,1,0.68,afrobeat
Los Amigos Invisibles,Mi Linda,Los Amigos Invisibles - Mi Linda.txt,135.087,0.897,0.727,1,0.897,afrobeat
Los Amigos Invisibles,Groupie,Los Amigos Invisibles - Groupie.txt,126.122,0.756,0.761,1,0.702,afrobeat
Voilaaa,Des promesses,Voilaaa - Des promesses.txt,134.019,0.785,0.83,0,0.833,afrobeat
Los Amigos Invisibles,Mostro,Los Amigos Invisibles - Mostro.txt,125.015,0.799,0.853,0,0.798,afrobeat
The Dynamics,The Creator Has a Masterplan,The Dynamics - The Creator Has a Masterplan.txt,121.001,0.601,0.781,1,0.822,afrobeat
William Onyeabor,Let's Fall in Love,William Onyeabor - Let's Fall in Love.txt,131.462,0.958,0.713,0,0.961,afrobeat
Lara George,Dansaki,Lara George - Dansaki.txt,139.497,0.94,0.701,1,0.945,afrobeat
J Prince,Blood,J Prince - Blood.txt,127.968,0.902,0.85,1,0.836,afrobeat
Los Enanitos Verdes,Lamento Boliviano,Los Enanitos Verdes - Lamento Boliviano.txt,123.57,0.734,0.714,0,0.68,alt-rock
Yeah Yeah Yeahs,Heads Will Roll - A-Trak Remix,Yeah Yeah Yeahs - Heads Will Roll - A-Trak Remix.txt,131.982,0.607,0.738,0,0.78,alt-rock
Fitz and The Tantrums,Sway,Fitz and The Tantrums - Sway.txt,159.978,0.927,0.705,1,0.945,alt-rock
Los Prisioneros,Amiga Mía,Los Prisioneros - Amiga Mía.txt,135.276,0.606,0.79,1,0.903,alt-rock
lovelytheband,sail away,lovelytheband - sail away.txt,120.019,0.835,0.743,1,0.955,alt-rock
Empire of the Sun,Walking On A Dream,Empire of the Sun - Walking On A Dream.txt,126.975,0.701,0.871,0,0.716,alt-rock
Bersuit Vergarabat,Sencillamente,Bersuit Vergarabat - Sencillamente.txt,136.009,0.613,0.742,0,0.966,alt-rock
La Mosca Tse-Tse,Baila Para Mi,La Mosca Tse-Tse - Baila Para Mi.txt,152.629,0.913,0.758,1,0.968,alt-rock
Bandalos Chinos,Vámonos De Viaje,Bandalos Chinos - Vámonos De Viaje.txt,129.001,0.748,0.768,1,0.868,alt-rock
Gondwana,Felicidad,Gondwana - Felicidad.txt,143.645,0.666,0.744,1,0.806,alt-rock
Charlie Brown Jr.,Pontes Indestrutíveis,Charlie Brown Jr. - Pontes Indestrutíveis.txt,159.019,0.711,0.729,1,0.808,alt-rock
Charlie Brown Jr.,Quinta-Feira,Charlie Brown Jr. - Quinta-Feira.txt,143.674,0.646,0.724,1,0.824,alt-rock
LCD Soundsystem,Daft Punk Is Playing at My House,LCD Soundsystem - Daft Punk Is Playing at My House.txt,135.997,0.839,0.922,1,0.977,alt-rock
Panteon Rococo,Que Pasará,Panteon Rococo - Que Pasará.txt,160.078,0.878,0.736,1,0.833,alt-rock
Los Piojos,El Balneario de los Doctores Crotos,Los Piojos - El Balneario de los Doctores Crotos.txt,139.892,0.808,0.702,1,0.653,alt-rock
La Verbena Popular,Hiereme,La Verbena Popular - Hiereme.txt,145.899,0.805,0.746,1,0.912,alt-rock
Büyük Ev Ablukada,BENİM KAFAM SİKTİRMİŞ GİTMİŞ,Büyük Ev Ablukada - BENİM KAFAM SİKTİRMİŞ GİTMİŞ.txt,125.018,0.652,0.761,0,0.847,alt-rock
Skank,Tão Seu,Skank - Tão Seu.txt,153.8,0.786,0.77,0,0.969,alt-rock
Skay Beilinson,Aves Migratorias,Skay Beilinson - Aves Migratorias.txt,120.018,0.823,0.744,1,0.962,alt-rock
Gorillaz,The Valley of the Pagans,Gorillaz - The Valley of the Pagans.txt,130.034,0.856,0.75,1,0.94,alternative
Gorillaz,Feel Good Inc.,Gorillaz - Feel Good Inc..txt,138.559,0.705,0.818,1,0.772,alternative
Cookiee Kawaii,Violin,Cookiee Kawaii - Violin.txt,139.9,0.875,0.83,1,0.675,alternative
The Knocks,Slow Song,The Knocks - Slow Song.txt,123.014,0.743,0.77,1,0.843,alternative
JPEGMAFIA,ROUGH 7,JPEGMAFIA - ROUGH 7.txt,124.011,0.749,0.875,0,0.695,alternative
Duckwrth,Start a Riot,Duckwrth - Start a Riot.txt,143.144,0.727,0.728,1,0.89,alternative
Moliy,Hard,Moliy - Hard.txt,159.955,0.659,0.746,0,0.859,alternative
MARINA,Oh No!,MARINA - Oh No!.txt,126.999,0.896,0.77,1,0.964,alternative
ENHYPEN,Polaroid Love,ENHYPEN - Polaroid Love.txt,138.055,0.67,0.738,0,0.651,anime
Rustage,Copy (Kakashi Rap),Rustage - Copy (Kakashi Rap).txt,169.771,0.805,0.729,1,0.74,anime
ENHYPEN,Go Big or Go Home,ENHYPEN - Go Big or Go Home.txt,122.019,0.844,0.766,0,0.823,anime
白銀御行(CV:古川慎),My Nonfiction,白銀御行(CV:古川慎) - My Nonfiction.txt,155.091,0.923,0.724,1,0.797,anime
Rustage,God Mode (Madara Rap),Rustage - God Mode (Madara Rap).txt,139.964,0.774,0.825,0,0.61,anime
Rustage,Blood (Alucard Rap),Rustage - Blood (Alucard Rap).txt,139.964,0.936,0.788,1,0.763,anime
Rustage,Pirate King,Rustage - Pirate King.txt,139.736,0.606,0.797,1,0.696,anime
Rustage,Bounce Back (Luffy Rap),Rustage - Bounce Back (Luffy Rap).txt,125.098,0.885,0.829,0,0.674,anime
Rustage,Sasuke,Rustage - Sasuke.txt,136.119,0.893,0.739,0,0.794,anime
Eve,Kokoroyohou,Eve - Kokoroyohou.txt,142.942,0.831,0.718,1,0.761,anime
Doblecero,Rap de Buda,Doblecero - Rap de Buda.txt,200.119,0.743,0.743,0,0.656,anime
Rustage,Upgrade (Cyberpunk: Edgerunners),Rustage - Upgrade (Cyberpunk: Edgerunners).txt,159.845,0.924,0.703,0,0.759,anime
Rustage,Sage Mode (Jiraiya Rap),Rustage - Sage Mode (Jiraiya Rap).txt,140.031,0.842,0.866,1,0.844,anime
Rustage,Determination (Rock Lee Rap),Rustage - Determination (Rock Lee Rap).txt,180.132,0.899,0.752,0,0.607,anime
Rustage,Eight Gates (Might Guy Rap) [feat. DizzyEight],Rustage - Eight Gates (Might Guy Rap) [feat. DizzyEight].txt,149.952,0.896,0.731,1,0.689,anime
ACE COLLECTION,モノクロシティ,ACE COLLECTION - モノクロシティ.txt,134.986,0.885,0.715,1,0.779,anime
Rustage,Yonko,Rustage - Yonko.txt,179.987,0.925,0.734,0,0.772,anime
Rustage,Gol D Roger,Rustage - Gol D Roger.txt,140.088,0.877,0.831,1,0.813,anime
Yuu Miyashita,Wozwald,Yuu Miyashita - Wozwald.txt,138.979,0.74,0.726,0,0.914,anime
Rustage,Legend,Rustage - Legend.txt,150.022,0.959,0.771,1,0.633,anime
Rustage,Supernova,Rustage - Supernova.txt,140.078,0.889,0.834,0,0.749,anime
Fireside Collective,Movin' on Down That Line,Fireside Collective - Movin' on Down That Line.txt,138.068,0.606,0.721,1,0.61,bluegrass
The Rubber Knife Gang,Drivin' On,The Rubber Knife Gang - Drivin' On.txt,122.88,0.644,0.748,0,0.967,bluegrass
Chatham County Line,Let It Rock,Chatham County Line - Let It Rock.txt,124.389,0.82,0.744,1,0.947,bluegrass
Bachman-Turner Overdrive,Takin' Care Of Business,Bachman-Turner Overdrive - Takin' Care Of Business.txt,130.22,0.919,0.728,1,0.963,blues
T. Rex,Get It On,T. Rex - Get It On.txt,126.59,0.878,0.728,0,0.911,blues
Rainbow,Since You Been Gone,Rainbow - Since You Been Gone.txt,120.814,0.726,0.733,1,0.915,blues
Zayde Wølf,You Do You,Zayde Wølf - You Do You.txt,120.027,0.795,0.75,1,0.777,blues
Z.Z. Hill,Someone Else Is Steppin' In,Z.Z. Hill - Someone Else Is Steppin' In.txt,130.802,0.721,0.786,1,0.891,blues
The Black Keys,Sinister Kid,The Black Keys - Sinister Kid.txt,139.661,0.871,0.744,1,0.874,blues
Richard Berry,Have Love Will Travel,Richard Berry - Have Love Will Travel.txt,132.685,0.892,0.807,0,0.965,blues
The Changcuters,Hmmm.. Sudah Kuduga,The Changcuters - Hmmm.. Sudah Kuduga.txt,120.041,0.732,0.721,1,0.741,blues
Tim Maia,Vê se decide,Tim Maia - Vê se decide.txt,123.382,0.743,0.817,0,0.961,brazil
UCLÃ,Bola de Haxixe,UCLÃ - Bola de Haxixe.txt,130.005,0.668,0.882,1,0.716,brazil
Sant,5AM,Sant - 5AM.txt,139.989,0.633,0.794,0,0.701,brazil
Tihuana,Pula,Tihuana - Pula.txt,137.156,0.937,0.78,1,0.935,brazil
Major RD,60K - Remix,Major RD - 60K - Remix.txt,132.999,0.751,0.844,1,0.801,brazil
Raul Seixas,Aluga-Se,Raul Seixas - Aluga-Se.txt,143.138,0.823,0.71,1,0.967,brazil
Yung Buda,Digimon,Yung Buda - Digimon.txt,129.014,0.627,0.872,0,0.853,brazil
Black Alien,Mister Niterói,Black Alien - Mister Niterói.txt,160.028,0.79,0.825,0,0.961,brazil
Kid Abelha,Lágrimas e chuva,Kid Abelha - Lágrimas e chuva.txt,122.396,0.8,0.706,0,0.725,brazil
3030,Refém,3030 - Refém.txt,145.01,0.652,0.774,0,0.862,brazil
Lulu Santos,Assim Caminha a Humanidade,Lulu Santos - Assim Caminha a Humanidade.txt,138.518,0.755,0.753,1,0.949,brazil
HAWK.,Beggin' - Remix,HAWK. - Beggin' - Remix.txt,125.994,0.73,0.708,0,0.644,brazil
Fabio Brazza,Pangeia,Fabio Brazza - Pangeia.txt,148.935,0.722,0.74,1,0.76,brazil
Xamã,Peixes,Xamã - Peixes.txt,122.05,0.636,0.858,0,0.647,brazil
Mato Seco,Caminho da Luz,Mato Seco - Caminho da Luz.txt,150.639,0.663,0.749,0,0.944,brazil
Tim Maia,"Você E Eu, Eu E Você (Juntinhos)","Tim Maia - Você E Eu, Eu E Você (Juntinhos).txt",125.791,0.858,0.791,1,0.872,brazil
Don L,bingo,Don L - bingo.txt,132.015,0.676,0.868,0,0.739,brazil
Liu,Ai Papi,Liu - Ai Papi.txt,125.983,0.619,0.753,0,0.886,brazil
Haikaiss,Uma Noite a Toa,Haikaiss - Uma Noite a Toa.txt,132.022,0.7,0.76,0,0.661,brazil
Don L,Enquanto Acaba,Don L - Enquanto Acaba.txt,121.485,0.633,0.81,1,0.853,brazil
BK,Julius,BK - Julius.txt,129.794,0.661,0.759,0,0.658,brazil
Armandinho,Eu Sou do Mar,Armandinho - Eu Sou do Mar.txt,140.06,0.641,0.778,0,0.864,brazil
Fabio Brazza,Pangeia,Fabio Brazza - Pangeia.txt,148.935,0.722,0.74,1,0.76,brazil
The Chemical Brothers,Do It Again,The Chemical Brothers - Do It Again.txt,123.974,0.714,0.867,1,0.623,breakbeat
The Chemical Brothers,The Salmon Dance,The Chemical Brothers - The Salmon Dance.txt,124.013,0.736,0.863,1,0.739,breakbeat
The Chemical Brothers,Got To Keep On,The Chemical Brothers - Got To Keep On.txt,125.005,0.867,0.721,0,0.917,breakbeat
Adam Freeland,We Want Your Soul,Adam Freeland - We Want Your Soul.txt,132.988,0.91,0.778,1,0.796,breakbeat
Amb,Still Alive,Amb - Still Alive.txt,156.005,0.89,0.753,1,0.93,breakbeat
Propellerheads,History Repeating - Knee Length Mix,Propellerheads - History Repeating - Knee Length Mix.txt,144.04,0.829,0.717,0,0.729,breakbeat
Freestylers,Get A Life,Freestylers - Get A Life.txt,137.976,0.952,0.71,0,0.889,breakbeat
The Prodigy,Out of Space - Audio Bullys Remix,The Prodigy - Out of Space - Audio Bullys Remix.txt,126.93,0.849,0.712,1,0.701,breakbeat
Dub Pistols,Bang Bang,Dub Pistols - Bang Bang.txt,150.006,0.626,0.728,0,0.841,breakbeat
Freestylers,Drop the Boom,Freestylers - Drop the Boom.txt,127.857,0.688,0.801,0,0.663,breakbeat
Audio Bullys,The Future Belongs to Us,Audio Bullys - The Future Belongs to Us.txt,124.998,0.652,0.864,0,0.688,breakbeat
